station,lat,lon
Waterfront,49.28607548442237,-123.11173815504948
VCC - Clark,49.26578319849909,-123.07896225243121
Olympic Village,49.26634023249435,-123.11519667899394
Broadway - City Hall,49.26277346788348,-123.11478218139136
King Edward,49.24912287838038,-123.11533610484715
Burrard,49.28586014917365,-123.11997233644202
Marine Drive,49.20954787392408,-123.11707077626738
Granville,49.28363768680058,-123.11640402719512
Stadium - Chinatown,49.279441691877636,-123.10956479630316
Main Street - Science World,49.27317791187965,-123.10060690768856
29th Avenue,49.24424259217731,-123.04594067398634
Joyce - Collingwood,49.23839380523484,-123.03180671710778
Rupert,49.260764777915135,-123.03282383181416
Renfrew,49.25889291082949,-123.04530845874768
Commercial - Broadway,49.26293626736842,-123.06845389883729
Waterfront,49.28566576739237,-123.1133392689008
Vancouver City Center,49.28173470745284,-123.11928408921445
Commercial - Broadway,49.26181784640944,-123.0690994031622
Yaletown - Roundhouse,49.27436225483749,-123.1218903777964
Oakridge - 41st Avenue,49.23346681076931,-123.11604067532821
Langara - 49th Avenue,49.226386919601616,-123.11632486084643
Nanaimo,49.248272210616825,-123.05587151633279
Great Northern Way,49.26815325144819,-123.09327409811601
Mount Pleasant,49.262589155667406,-123.10181694973299
Broadway - City Hall,49.26289798535599,-123.113754710699
Oak - VGH,49.26305005526291,-123.12460139098401
South Granville,49.26388272443891,-123.13736087077899
Arbutus,49.2643001544443,-123.152377450935
