station_id,storefronts_count,bus_stop_count,bikeshares_count,bike_routes_count,parks_count,parking_meters_count,population_density,commercial,comprehensive_development,residential,residential_inclusive,industrial
1,1505,47,7,8,2,173,13270,0.0,0.9142842981491965,0.0,0.0,0.0
2,0,18,5,5,4,8,2879,0.003539892285926437,0.14573413227316517,0.4389126938932183,0.06732138442887078,0.3444918971188192
3,701,26,9,8,2,344,9248,0.2646430385078123,0.4007138868608232,0.07210774262853417,0.0027339094199390667,0.2598014225828913
4,975,29,10,7,1,425,8857,0.29707034696729695,0.2873450212232099,0.3046213832662856,0.0,0.11096324854320766
5,58,20,3,4,2,3,4573,0.011389830849116496,0.11232645709768513,0.24178744420840198,0.6344962678447964,0.0
6,1698,59,11,8,3,495,13270,0.0,0.9909862430821891,0.009013756917811025,0.0,0.0
7,166,9,0,5,1,0,4074,0.0,0.1599110500820902,0.18522155907026575,0.22183080719745463,0.4330365836501893
8,1912,86,15,9,4,283,13270,0.0,0.9781927735342942,0.0,0.0,0.0
9,1166,41,10,12,5,249,13270,0.0,0.8943451117415346,0.0,8.435384363716132e-09,0.0
10,278,17,5,11,6,35,13270,0.17473350158285952,0.4755619684159364,0.0006054434369103901,0.0941098933520064,0.2549891932122873
11,0,22,0,4,2,0,6361,0.010611160298225564,0.07606866161392142,0.16624083671868617,0.7470793413691669,0.0
12,172,17,0,1,5,0,6361,0.014480802647270379,0.24801119474602554,0.16119749984551981,0.5748796998529275,0.001430802908256602
13,6,18,0,2,1,0,6361,0.024887450622122474,0.33955078626951524,0.009579198930555116,0.40216948742737235,0.22381307675043494
14,38,17,0,2,1,0,6361,0.034374122257048896,0.3782166423167234,0.0,0.5416288561905288,0.0457803792356989
15,566,23,8,5,2,109,6136,0.12756284230437995,0.04840312591371863,0.7321907024681554,0.09184332931374596,0.0
16,1466,57,9,9,4,202,13270,0.0,0.9319033047851959,0.0,0.0,0.0
17,1858,61,13,10,3,500,13270,0.0,0.9972892763322,0.002587390079111069,0.0,0.0
18,458,24,6,5,5,96,6801,0.12788838066183295,0.058582384158949605,0.708349923685975,0.10517931149324243,0.0
19,1257,28,9,11,7,668,13270,0.0,0.8803330700354595,0.0,0.03506904564596732,0.0
20,28,19,0,5,2,0,3238,0.03805560892368857,0.33695341287756236,0.07159297206030958,0.5533980061384396,0.0
21,0,14,0,4,2,0,3238,0.0,0.3316037974298852,0.12503218128205237,0.5433640212880624,0.0
22,0,16,0,4,1,0,6361,0.01036254213775746,0.0622984930001598,0.07102559518508147,0.8563133696770012,0.0
23,16,6,4,3,2,50,2879,0.018386078697277118,0.16490508087574157,0.25446977938694215,0.0,0.5622390610400391
24,1229,25,9,5,4,293,8857,0.311593770858204,0.05843842050412901,0.3971977745286557,0.0,0.23277003410901123
25,960,27,10,7,2,450,8857,0.30232480988173543,0.23471158392108765,0.3156505623712107,0.0,0.14731304382596627
26,626,21,3,8,4,359,9248,0.17415151918775199,0.41148488519009363,0.41436359562215447,0.0,0.0
27,998,30,6,5,3,527,9248,0.4144978788640862,0.10124055610869725,0.4153024481749535,0.04084087093295578,0.02811824591930725
28,1102,16,6,5,4,375,6765,0.2930185459471931,0.1021079029395243,0.5507931515694451,0.04783351868185306,0.0062468808619845
