station_id,supply_score,demand_score,supply_gap_score
19,4.76363344988345,12.466765659673884,7.703132209790434
27,2.985737179487179,9.903487839938657,6.917750660451478
28,2.317494939271255,8.289530490418864,5.972035551147609
3,3.136037449392713,9.058130327382166,5.922092877989453
24,4.269239510489511,9.55125740589028,5.282017895400768
4,4.421955128205129,9.532396628738084,5.110441500532955
25,4.704097394540943,9.694509221154128,4.990411826613185
10,4.52102564102564,8.64267432218796,4.121648681162319
9,7.118621794871796,11.233027950630428,4.1144061557586316
26,3.939519230769231,7.978738426336934,4.039219195567703
11,0.0,3.9261181772650495,3.9261181772650495
22,0.0,3.7043127472934136,3.7043127472934136
18,3.141858974358974,6.270300052357509,3.128441077998535
15,3.152628205128205,6.006739390543823,2.8541111854156176
6,10.878960863697706,12.906651054162527,2.0276901904648206
14,1.6910576923076923,3.638293950203095,1.9472362578954026
17,11.811367228661748,13.675660204674704,1.8642929760129565
12,2.431923076923077,4.272814491551541,1.840891414628464
16,9.63805330634278,11.469456088633557,1.8314027822907768
2,1.7169551282051283,3.4458844259014887,1.7289292976963604
23,1.0453846153846154,2.7384392778562496,1.6930546624716343
20,1.5079807692307694,3.1849854969319535,1.6770047277011841
13,1.8138461538461539,3.489825094713788,1.6759789408676342
21,1.4741346153846155,2.77979514674763,1.3056605313630145
5,2.5041346153846153,3.7802979847198097,1.2761633693351944
1,9.325439291101056,10.465776932303532,1.1403376412024766
8,13.23225641025641,14.034327760243464,0.8020713499870542
7,2.53625,2.820411533643372,0.28416153364337227
