station_id,cafe_count,price_level_1_count,weekday_open_early_count,weekday_close_late_count,weekend_open_early_count,weekend_close_late_count,open_24_7_count,average_weekly_operating_hours,supply_score
8,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.44946153846153847,13.23225641025641
17,0.73,0.84,0.72,0.875,0.7692307692307693,0.9166666666666666,1.0,0.5100105374077978,11.811367228661748
6,0.76,0.68,0.88,0.75,0.9230769230769231,0.75,0.6666666666666666,0.475506072874494,10.878960863697706
16,0.76,0.64,0.6,0.875,0.6153846153846154,0.9166666666666666,0.3333333333333333,0.4504048582995952,9.63805330634278
1,0.68,0.64,0.6,0.8125,0.6153846153846154,0.9166666666666666,0.3333333333333333,0.46097285067873306,9.325439291101056
9,0.45,0.44,0.2,0.3125,0.38461538461538464,0.41666666666666663,1.0,0.458974358974359,7.118621794871796
19,0.22,0.24,0.12,0.3125,0.46153846153846156,0.41666666666666663,0.3333333333333333,0.4954545454545455,4.76363344988345
25,0.31,0.28,0.2,0.3125,0.6153846153846154,0.41666666666666663,0.0,0.4486352357320099,4.704097394540943
10,0.12,0.12,0.12,0.25,0.23076923076923078,0.25,0.6666666666666666,0.6557692307692308,4.52102564102564
4,0.3,0.28,0.16,0.3125,0.5384615384615385,0.41666666666666663,0.0,0.4102564102564103,4.421955128205129
24,0.22,0.08,0.08,0.5625,0.38461538461538464,0.5833333333333333,0.0,0.5167832167832168,4.269239510489511
26,0.2,0.2,0.32,0.3125,0.38461538461538464,0.3333333333333333,0.0,0.45692307692307693,3.939519230769231
15,0.08,0.08,0.04,0.125,0.23076923076923078,0.16666666666666666,0.3333333333333333,0.6211538461538462,3.152628205128205
18,0.07,0.08,0.04,0.125,0.23076923076923078,0.16666666666666666,0.3333333333333333,0.6307692307692307,3.141858974358974
3,0.19,0.2,0.16,0.0625,0.5384615384615385,0.08333333333333333,0.0,0.44979757085020244,3.136037449392713
27,0.15,0.2,0.16,0.1875,0.23076923076923078,0.25,0.0,0.4466666666666667,2.985737179487179
7,0.04,0.12,0.08,0.1875,0.15384615384615385,0.25,0.0,0.5846153846153846,2.53625
5,0.01,0.04,0.04,0.0625,0.07692307692307693,0.08333333333333333,0.0,1.0,2.5041346153846153
12,0.04,0.08,0.0,0.25,0.0,0.3333333333333333,0.0,0.6384615384615385,2.431923076923077
28,0.19,0.2,0.0,0.0625,0.15384615384615385,0.08333333333333333,0.0,0.4489878542510122,2.317494939271255
13,0.02,0.04,0.08,0.0,0.07692307692307693,0.0,0.0,0.7192307692307692,1.8138461538461539
2,0.03,0.08,0.08,0.0625,0.15384615384615385,0.08333333333333333,0.0,0.44871794871794873,1.7169551282051283
14,0.06,0.16,0.12,0.0625,0.23076923076923078,0.08333333333333333,0.0,0.2230769230769231,1.6910576923076923
20,0.02,0.0,0.04,0.0625,0.07692307692307693,0.08333333333333333,0.0,0.5269230769230769,1.5079807692307694
21,0.02,0.04,0.0,0.0625,0.0,0.08333333333333333,0.0,0.5576923076923077,1.4741346153846155
23,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.4076923076923077,1.0453846153846154
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
